,Driver ID,Driver Onboard Date,Number of Rides,Average Ride Distance in Miles,Average Ride Duration in Minutes,Percentage of Prime Rides: ,Total Revenue: ,Average Ride Revenue
0,002be0ffdc997bd5c50703158b7c2491,2016-03-29,277,3.903851609191633,13.311552346570398,39.711191335740075,3654.9885705589472,13.194904586855404
1,007f0389f9c7b03ef97098422f902e62,2016-03-29,31,2.3558244874576917,11.019892473118281,38.70967741935484,332.43244808637905,10.72362735762513
2,011e5c5dfc5c2c92501b8b24d47509bc,2016-04-05,34,4.928088898700892,14.316176470588236,47.05882352941177,494.24089029664333,14.536496773430686
3,0152a2f305e71d26cc964f8d4411add9,2016-04-23,191,4.786323579559817,15.22870855148342,25.130890052356023,2646.746561072656,13.857311838076733
4,01674381af7edd264113d4e6ed55ecda,2016-04-29,375,5.175859254932664,15.886355555555555,26.4,5463.347538957997,14.56892677055466
5,01788cf817698fe68eaecd7eb18b2f72,2016-05-06,0,0.0,0.0,0.0,0.0,0.0
6,0213f8b59219e32142711992ca4ec01f,2016-04-07,240,4.038705307765916,12.491527777777778,23.75,2984.4727416808532,12.43530309033689
7,021e5cd15ef0bb3ec20a12af99e142b3,2016-05-07,53,3.020926661368976,15.863836477987423,49.056603773584904,707.2421109616363,13.344190772861062
8,0258e250ca195cc6258cbdc75aecd853,2016-04-26,302,5.071004386068511,14.854028697571744,29.47019867549669,4340.86508531758,14.373725448071458
9,028b5a4dcd7f4924ebfabcf2e814c014,2016-05-06,363,5.0542098927264165,16.09591368227732,27.548209366391184,5267.093493089297,14.509899429998065
10,02d6a6b8a6da15fc219a9570f7ebbe78,2016-05-03,62,16.032609240333745,25.93736559139785,9.67741935483871,1570.0118668128962,25.322772045369295
11,02e440f6c209206375833cef02e0cbae,2016-03-31,56,5.0539240575994775,14.887202380952381,23.214285714285715,798.33146241627,14.255918971719108
12,036f3d94e7c65e4e3574822d31c72656,2016-04-09,204,4.827158472222324,16.448529411764707,22.54901960784314,2999.158620261517,14.701757942458418
13,039c5afbca8e03e4c18d9c8ea94140ac,2016-04-12,38,4.015245216574562,13.346491228070175,21.05263157894737,478.4217214572434,12.590045301506406
14,039da9c077e17af98ca8530e4d7975f1,2016-05-04,396,3.336245939580226,12.758122895622897,47.22222222222222,5020.825044353579,12.678851122104998
15,03f2b5c74cb89f39e58711699e76bf39,2016-04-10,223,3.786520068026661,16.00904334828102,33.18385650224215,2974.2196157482745,13.33730769393845
16,03f5278eb43475aa6790f5be32463755,2016-04-12,370,3.80514221206679,14.504189189189189,37.83783783783784,4974.125851747712,13.443583383101924
17,0430df9a3eb327122c57ee3a64765000,2016-04-05,43,3.674046937051474,13.81356589147287,18.6046511627907,508.7808050826218,11.832111746107483
18,04c4ffa5a385eab86fa7e422263d2999,2016-04-07,55,5.2669021857633345,17.376969696969695,40.0,911.1366943954248,16.566121716280453
19,04d686ef2fba281e395992a28f14fdd3,2016-05-14,318,5.050800933825523,14.207914046121594,30.18867924528302,4646.8793645366,14.612828190366669
20,052bba06c5fc0bdea4bc2f9cb92b37c7,2016-04-15,56,4.014667059610949,13.989880952380952,25.0,751.4781070449167,13.419251911516369
21,059ed570673c2d15ca11dd6b3a25513b,2016-05-12,32,6.092715026035518,16.944791666666667,25.0,510.3893832274929,15.949668225859153
22,05addf442c147875efa5cf53453ad47b,2016-04-08,344,4.0588229726413925,14.447771317829456,45.348837209302324,4985.052671858235,14.491432185634403
23,05bad02e08c7f849e91dc1259da8b4ec,2016-05-12,46,5.536714753712162,15.39782608695652,28.26086956521739,723.971020863625,15.738500453557064
24,0656192a402808805282e60761bda088,2016-04-30,315,5.209131378119908,13.27873015873016,32.06349206349206,4555.372298053857,14.461499358901133
25,06b1ba06e5505f8218ec8686498f990a,2016-05-11,44,3.1350655322283445,13.297727272727274,54.54545454545455,579.0391428950169,13.159980520341293
26,06c848ab3a7fc5421e82e98850a81710,2016-04-20,400,3.910253582213827,13.230666666666668,31.0,5012.0184853884275,12.530046213471069
27,07dd442e3e0b9f0f9b0d69c7b47cbb06,2016-04-08,286,3.6481445158294057,14.62511655011655,19.93006993006993,3468.0833708103955,12.12616563220418
28,07e6a2fdaadc640cca9a7bec41351065,2016-05-14,22,2.9961181150488567,11.53560606060606,36.36363636363637,259.44966453432255,11.793166569741935
29,081d8ba3bc9a00a481df02bd9d0a4c53,2016-04-04,192,2.9637149390433346,13.408333333333333,35.416666666666664,2215.0781362991447,11.536865293224713
30,0822973f3e812a68a867962dbbd37f5d,2016-05-08,36,3.1044990147790053,11.79814814814815,38.888888888888886,409.2473484409757,11.367981901138215
31,08a1491d6a804e0af969f08252ddbbd8,2016-04-16,571,4.153828862892027,15.596964389959137,42.73204903677758,8327.675441499832,14.584370300349969
